"","time","EL","EL_LAR","EL_BIO","EL_LAR_BIO","LL","LL_LAR","LL_BIO","LL_LAR_BIO","PL","SV","EV","IV","SH","IH","Mm","EIR","VC","R0"
"157",156,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"158",157,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"159",158,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"160",159,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"161",160,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"162",161,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"163",162,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"164",163,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"165",164,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"166",165,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"167",166,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"168",167,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"169",168,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"170",169,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"171",170,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"172",171,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"173",172,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"174",173,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"175",174,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
