"","time","EL","LL","PL","SV","EV","IV"
"70",69,2299.72950169998,1174.48838308116,177.508349062584,115.340451074791,0.517223739359016,3.33234674018157e-06
"71",70,2219.06815203618,1135.67209371003,171.618580309553,111.490395946862,0.499851662195447,3.21030138083874e-06
"72",71,2141.92062468996,1098.39225353935,165.963376723645,107.795112326944,0.483184667663012,3.09388536644952e-06
"73",72,2068.08898452457,1062.5725496645,160.531013295674,104.246767650947,0.467186637041731,2.98276515521884e-06
"74",73,1997.38887877335,1028.14119987607,155.310441141147,100.837999719647,0.451823661770961,2.87662914357245e-06
"75",74,1929.64973314076,995.031101045513,150.291353350951,97.5619356535128,0.437064120428626,2.7751917996382e-06
"76",75,1864.71313481294,963.179428044339,145.464086010184,94.4121423203046,0.422878422722765,2.67818317158124e-06
"77",76,1802.43022791761,932.526544268753,140.819495069836,91.3825284140003,0.409238574156358,2.58535722441488e-06
"78",77,1742.66277170127,903.016582866828,136.349003188284,88.467394209144,0.396118400149555,2.49648308524935e-06
"79",78,1685.28163536625,874.596918814221,132.044537461394,85.6613752622266,0.383493288484868,2.41134569478369e-06
"80",79,1630.16607274819,847.217938216428,127.898492836227,82.9594201189548,0.371340080188211,2.3297453119184e-06
"81",80,1577.20244145625,820.832565948461,123.90365557215,80.3567430169231,0.35963684375197,2.251494975471e-06
"82",81,1526.28657285716,795.397338778157,120.053364429377,77.8489264540038,0.348363360652473,2.17642244739849e-06
"83",82,1477.31791816538,770.870019093582,116.341150976842,75.4316805984788,0.337500011172715,2.10436152103529e-06
"84",83,1430.20349339053,747.211228749185,112.76099022149,73.1010238504074,0.327028524009628,2.03516192409266e-06
"85",84,1384.8558222874,724.383675591871,109.307177734433,70.8531719703923,0.316931674506807,1.96867995944896e-06
"86",85,1341.19255431929,702.352027744604,105.974308932076,68.6845520577803,0.307193125759764,1.90478275300433e-06
"87",86,1299.13550263572,681.082511457278,102.757222788133,66.5917518814499,0.297797301075247,1.84334398767847e-06
"88",87,1258.61302053059,660.543996405234,99.6511580873033,64.5716274737547,0.288729860328403,1.78424696847132e-06
"89",88,1219.55549174418,640.706072200332,96.6514689122978,62.6211090980198,0.279976807466115,1.72737894943468e-06
"90",89,1181.89794749541,621.540165007951,93.7537961621155,60.7373188566993,0.271525022439673,1.67263702985733e-06
"91",90,1145.57859636919,603.018945269952,90.9539659762064,58.9175055961842,0.263361982005957,1.61992194685272e-06
"92",91,1110.54031345127,585.117016387544,88.2481017211436,57.1591129942325,0.255476053304788,1.56914243965129e-06
"93",92,1076.72771258105,567.809636057618,85.6324280101282,55.4596527680097,0.2478559148458,1.5202100408423e-06
